Question_Number,Domain_Number,Domain_Name,Question_Type,Question,Option_A,Option_B,Option_C,Option_D,Option_E,Correct_Answer,Explanation
40,5,Model Management,MC,"An AI Gateway instance for a new on-prem deployment has one default LLM registered but no default embedding model, and a downstream Knowledge Base's semantic search is failing. A teammate argues 'this is unrelated to the AI Gateway since Knowledge Bases and the AI Gateway are entirely separate capabilities.' Why is that argument wrong?",It is correct; Knowledge Bases never depend on the AI Gateway or any registered embedding model,"At least one default embedding model is required per AI Gateway instance, and embedding models used for Knowledge Base semantic search are registered through the AI Gateway — so a missing default embedding model there is a plausible, directly related root cause of the KB search failure","The failure must be caused by RBAC misconfiguration instead, since embedding models have nothing to do with the AI Gateway",On-prem deployments do not support embedding models at all under any configuration,,B,"Embedding models for Knowledge Base semantic search are registered via the AI Gateway, and at least one default embedding model is required per instance — making a missing default embedding model a directly relevant, plausible root cause, contrary to the teammate's claim of unrelatedness."
41,5,Model Management,MC,"A policy is configured so that if the primary model returns errors or is rate-limited, traffic reroutes to a designated backup model; separately, under normal healthy conditions, traffic is also continuously split across two equivalent models to spread load. Which SINGLE model policy correctly governs BOTH described behaviors together, and why is calling the whole configuration simply 'failover' incomplete?","A model policy combining failover (for the unhealthy-primary case) AND load balancing (for the healthy, ongoing-traffic-splitting case) — calling the whole thing just 'failover' ignores the separate load-balancing behavior that operates under normal healthy conditions","This is purely a failover policy in all respects, since load balancing and failover are simply two names for the same underlying mechanism","This is purely a load-balancing policy in all respects, since failover and load balancing are simply two names for the same underlying mechanism",Neither term applies; this configuration falls entirely outside the scope of model policies,,A,"Failover addresses primary-model unavailability/rate-limiting; load balancing distributes ongoing traffic across healthy equivalent models. The scenario describes both behaviors together, so labeling it only 'failover' omits the distinct load-balancing component operating under normal conditions."
42,5,Model Management,MC,"Which of the following four claims about choosing an LLM for a specific agent task is FALSE, while the other three are accurate per documented guidance?","Reasoning-heavy planning tasks generally benefit from larger, more capable models","Input modality (text, image, audio, etc.) should be considered when it matters for the task","Popularity alone, without weighing cost/accuracy/latency, is explicitly called out as an invalid sole selection criterion","Cost, accuracy, and latency tradeoffs stop mattering once a model is selected for Dev, since only the Prod model choice needs to balance them",,D,"Cost/accuracy/latency tradeoffs are relevant to model selection generally, not something that only matters for the Prod environment — nothing in the documentation exempts Dev-stage model choices from these tradeoffs, making D the false statement."
43,5,Model Management,MC,"A governance dashboard shows a particular agent's default model has had rising latency and cost for several weeks with no corresponding accuracy improvement. A stakeholder asks, 'should we just let the dashboard automatically switch the model policy once a threshold is crossed?' What is the accurate description of the dashboard-to-policy relationship?","Dashboards automatically rewrite model policies with no human review once any threshold is crossed, so the stakeholder's proposal already matches current behavior","Dashboard insights (usage, cost, performance) inform WHEN and HOW a model policy should be adjusted, but this is a decision informed by governance visibility rather than a documented fully automatic, review-free rewrite triggered purely by crossing a threshold",Dashboards have no relationship whatsoever to model policy decisions,"Only failover behavior, never default-model assignment, can ever be informed by dashboard data",,B,"Governance dashboard insights inform when/how a model policy should be adjusted (e.g., changing the default model or failover ordering) — a human-informed decision process, not a documented fully automatic threshold-triggered rewrite."
44,5,Model Management,MR,Select ALL of the following that are explicitly named AI Gateway features/capabilities; exclude anything that sounds plausible but is not documented as an AI Gateway feature.,Registration and routing across multiple LLM/embedding providers,"Routing policies covering default model assignment, failover, and load balancing",Centralized credential management integrating with a secrets manager,Automatic translation of Knowledge Base documents into every supported enterprise language,,"A,B,C","Provider registration/routing, routing policies (default/failover/load balancing), and centralized credential management are documented AI Gateway features. Automatic document translation is not a documented AI Gateway capability."
45,5,Model Management,MC,"A validated model policy (default model, failover ordering, and guardrail restrictions) exists in Dev. A team recreates an approximate version by hand in Prod instead of importing the existing policy, reasoning 'it's basically the same, and manual setup gives us more control.' What risk does this specific choice introduce, according to documented guidance?",No risk; manual recreation is explicitly the documented preferred approach over importing existing policies,"Manually recreating an approximate version risks introducing drift or human error relative to the validated Dev configuration, undermining the consistent governance and guardrails that importing the existing, already-validated policy is specifically meant to preserve across environments","Manual recreation is impossible, so this scenario could not occur in practice","This choice bypasses all authentication checks, which is its primary documented risk",,B,"Importing an existing, validated model policy preserves consistent governance/guardrails across environments; manually recreating an 'approximate' version by hand risks drift or error relative to that validated baseline — the documented reason to prefer import over manual recreation."
46,5,Model Management,MC,"Which of the following four statements about third-party model availability is FALSE, while the other three are accurate?","Availability can vary by deployment type (IBM Cloud, AWS, AWS GovCloud, on-premises)",Availability can vary by region,"Model selection should weigh which third-party models are actually available and appropriate for the task and governance requirements, not just theoretically desirable","Every third-party model is available identically across every deployment type and region with zero variation, making deployment/region irrelevant to model selection",,D,"Availability varies by deployment type and region, directly contradicting the claim in option D that every model is available identically everywhere; A, B, and C are accurate."
47,5,Model Management,MC,"A developer wants to run a model locally for development purposes with no cloud dependency at all, so iteration is possible without network access. Which characterization is most accurate, versus a claim that overstates what is documented?","Local, no-cloud-dependency model options are documented as available for local development use; claiming this is 'entirely impossible under any circumstances in watsonx Orchestrate tooling' overstates the actual documented position",No local model option of any kind is documented; every model call always requires live cloud connectivity with zero exceptions,"Local models can only be used for embedding, never for chat/reasoning tasks, under any configuration","Local models require the --with-langflow flag before they can be used, since Langflow is the only way to run anything locally",,A,"A local, no-cloud-dependency development option is a documented possibility for local iteration — claiming it is 'entirely impossible' overstates the actual documented position, and it is not gated behind the Langflow flag, which is unrelated to local model execution."
48,6,"Security, Compliance, and Observability",MC,"Which of the following four statements about authentication and authorization scope in watsonx Orchestrate is FALSE, while the other three are accurate?","AuthN/authZ apply consistently across the agent runtime, the Catalog, connections/credentials, and the ADK/API surface","Programmatic ADK/API access typically uses API keys/tokens, distinct from federated identity/IAM used for interactive user sign-in","RBAC extends into team-scoped Catalog workspaces, restricting visibility and edit rights by team","AuthN/authZ apply only to the main chat UI; the Catalog, connections, and ADK/API surface are unauthenticated by design",,D,"AuthN/authZ apply consistently across the runtime, Catalog, connections, and ADK/API surface — not just the main chat UI — contradicting option D; A, B, and C are accurate."
49,6,"Security, Compliance, and Observability",MC,"An operator sees elevated 'trajectory deviations' for an agent alongside stable token usage, and separately sees rising latency for an unrelated agent with normal trajectory data. A colleague argues both signals point to the exact same underlying problem. Why is this wrong?",Both signals are identical and always indicate the same root cause regardless of which metric is elevated,"Trajectory deviations most directly suggest the agent is calling the wrong tool or skipping an expected step (a reasoning-path problem), while elevated latency with normal trajectory data more directly points to a performance/response-time issue rather than a reasoning-path problem — two distinct diagnostic signals pointing to different kinds of issues",Neither signal is meaningful for diagnosing anything; both should be ignored,"Latency issues always indicate trajectory deviations and vice versa, with no exceptions",,B,"Trajectory deviations point to a reasoning-path problem (wrong tool, skipped step); latency issues with normal trajectory data point to a performance issue instead — these are distinct observability signals diagnosing different kinds of problems, not interchangeable indicators of the same root cause."
50,6,"Security, Compliance, and Observability",MR,"A team is assembling their Security and Privacy by Design (SPbD) checklist for a new agent. Select ALL of the following that are documented, proactive SPbD-aligned practices; exclude anything reactive or undocumented.",Input/output plug-ins that redact sensitive data before it reaches or leaves the model,"Least-privilege scoping of connections rather than broad, unrestricted access",Access-controlled Knowledge Bases with document-level permissions,Waiting until after a breach is detected to add redaction and access controls,,"A,B,C","Redaction plug-ins, least-privilege connections, and access-controlled Knowledge Bases are documented proactive SPbD practices. Adding controls only after a breach is the reactive approach SPbD is specifically meant to avoid, not an example of it."
51,6,"Security, Compliance, and Observability",MC,"Which of the following four statements about external logging and built-in dashboards is FALSE, while the other three are accurate?",External logging forwards activity data to systems like a SIEM for centralized enterprise monitoring,Built-in dashboards surface metrics natively in the platform UI,The two are complementary; enabling one does not make the other redundant or disable it,"Enabling external logging automatically disables the built-in dashboards, since only one logging destination can be active at a time",,D,"External logging and built-in dashboards are complementary and can operate simultaneously; enabling one does not disable the other, contradicting option D."
52,6,"Security, Compliance, and Observability",MC,"A regulated customer needs jurisdictional data residency while retaining governed, auditable model use. A vendor proposes relying SOLELY on picking a single fixed cloud region, with no other controls, arguing 'region selection alone fully satisfies data residency requirements.' Why is this an incomplete proposal per documented guidance?",Region selection is irrelevant and should be dropped entirely in favor of RBAC alone,"Documented guidance describes a COMBINATION of RBAC, encrypted/managed credentials, audit logging, and hybrid/on-prem deployment options working together to support jurisdictional/infrastructure requirements — no single control, including region selection alone, is described as sufficient by itself","Region selection alone is explicitly documented as fully sufficient, making the vendor's proposal correct as stated","Data residency is not a supported concept in watsonx Orchestrate under any configuration, making the entire discussion moot",,B,"Data residency/regulatory alignment relies on RBAC, credential management, audit logging, and hybrid/on-prem deployment options working together — not any single control such as region selection alone."
53,6,"Security, Compliance, and Observability",MC,"A team integrates Langfuse and OpenTelemetry-compatible tracing, then concludes 'we no longer need the ADK Evaluation Framework, since Langfuse now gives us everything we need.' What is the flaw in this conclusion?","There is no flaw; Langfuse/OpenTelemetry tracing is a full, documented substitute for the ADK Evaluation Framework","Langfuse/OpenTelemetry extend OBSERVABILITY — visibility into prompts, reasoning, tool calls, and outputs in production — which is complementary to, not a replacement for, the ADK Evaluation Framework's pre-release, build-time evaluation against known/adversarial scenarios",Langfuse only handles billing reconciliation and has no bearing on observability or evaluation at all,OpenTelemetry is unrelated to watsonx Orchestrate and cannot be integrated under any configuration,,B,"Langfuse and OpenTelemetry-compatible tracing extend observability (continuous production visibility), which complements rather than replaces the ADK Evaluation Framework's distinct, pre-release evaluation role."
54,6,"Security, Compliance, and Observability",MC,"Which of the following four items is NOT part of IBM's published security checklist for authN/authZ/audit compliance readiness, even though it sounds like it could belong there?",Verifying identity mechanisms are configured correctly,Verifying RBAC roles are assigned appropriately,Verifying audit logging is enabled and retained per policy,Verifying that the chat widget's font matches the corporate brand style guide,,D,"The checklist covers identity configuration, RBAC assignment, and audit logging/retention — substantive compliance concerns. Font/brand-style verification is a cosmetic UI matter, not part of the documented security checklist."
55,7,"Deployment, Scaling, Optimization, and Resiliency",MC,"A platform team wants changes to reach Prod only after automated tests pass AND a human approver signs off, with an automatic rollback if a regression appears post-deployment. They currently have only approval gates configured, with no automated testing stage and no rollback mechanism. What is the specific gap in their pipeline, and why is 'approval gates alone are sufficient since a human is already checking' an incomplete argument?",The gap is missing automated testing and rollback mechanisms; a human approval gate alone cannot systematically catch every regression (especially ones that only manifest after deployment) the way automated tests and rollback mechanisms are specifically designed to address,There is no gap; approval gates alone fully satisfy every stated requirement with no need for automated testing or rollback,"The gap is that approval gates should be removed entirely, since automated testing alone is sufficient with no human sign-off needed",The gap is unrelated to testing or rollback and is actually about the Git branching strategy only,,A,"Automated testing, approval gates, and rollback mechanisms are each distinct, complementary parts of deployment automation; a human approval gate alone does not systematically catch every regression, especially ones only apparent post-deployment, which automated tests and rollback mechanisms are specifically meant to address."
56,7,"Deployment, Scaling, Optimization, and Resiliency",MC,"A team commits API keys directly into ADK YAML files, then argues 'our Git repository already has access control, so this is equivalent to using a dedicated secrets manager.' Why is this argument flawed?",The argument is correct; Git access control is a fully equivalent substitute for a dedicated secrets manager in every respect,"Committed secrets typically persist in Git history and become exposed to anyone with broader repository, fork, or history access — a materially larger and harder-to-revoke exposure surface than a dedicated secrets manager, which is the documented reason to avoid committing credentials into version-controlled files","ADK YAML files are technically incapable of storing credentials, making the scenario impossible","Secrets management only matters in the Test environment, so this practice is acceptable in Dev and Prod",,B,"Credentials committed into version-controlled files persist in Git history and are exposed to anyone with broader repo/fork/history access — a larger and harder-to-revoke exposure surface than a dedicated secrets manager, which pipelines should use instead."
57,7,"Deployment, Scaling, Optimization, and Resiliency",MC,"Which of the following four statements about environment backup, restore, and migration is FALSE, while the other three are accurate?","It typically involves exporting/importing agent, tool, connection, and knowledge-base configurations","It supports managing environment versioning to enable reliable migration, such as between regions or from on-prem to cloud",It is meant to avoid manually re-typing every agent definition from memory when recreating or migrating an environment,"Once an environment is deleted, no backup, restore, or migration capability of any kind is documented as ever being available, making manual re-creation the only option",,D,"Environment backup/restore/migration is specifically documented to support exporting/importing configurations and reliable migration, directly contradicting option D's claim that no such capability exists."
58,7,"Deployment, Scaling, Optimization, and Resiliency",MC,"A knowledge base ingestion run corrupts several chunks' embeddings, degrading retrieval accuracy platform-wide for that KB. A junior engineer proposes deleting the KB and rebuilding it from scratch as the 'clean' fix. Why does this bypass a more appropriate, documented remedy?","Deleting and rebuilding is indeed the only documented remedy, since knowledge base versioning does not support any form of rollback","Knowledge base versioning tracks document versions and supports snapshot/rollback procedures specifically so a bad ingestion can be reversed without discarding the entire KB and its otherwise-valid history — rebuilding from scratch bypasses that more targeted, documented remedy",The corruption can only be fixed by disabling RBAC on the knowledge base,The corruption can only be fixed by switching the AI Gateway's failover policy,,B,"Knowledge base versioning exists precisely to let a bad ingestion be rolled back via snapshot/rollback procedures — a more targeted, documented remedy than discarding the entire KB and its valid history by rebuilding from scratch."
59,7,"Deployment, Scaling, Optimization, and Resiliency",MC,Which of the following four claims about why ADK-managed artifacts fit naturally into standard Git workflows is FALSE?,"ADK artifacts (agents, tools, connections, knowledge-base configs) are code-first, version-controllable definitions (YAML/Python)","Being code-first allows these artifacts to be branched, diffed, and reviewed like any other codebase",This code-first nature supports standard CI/CD promotion workflows across environments,"Git directly executes and hosts the running agents in production, which is why ADK artifacts are stored there",,D,"Git stores and version-controls the code-first artifact definitions; it does not execute or host running agents in production. That misattribution (option D) is false, while A, B, and C accurately describe why code-first artifacts suit Git workflows."
60,7,"Deployment, Scaling, Optimization, and Resiliency",MC,"A CI/CD pipeline for watsonx Orchestrate assets includes build, automated testing (leveraging the ADK Evaluation Framework), and deployment stages, but the team has not yet defined which artifacts get promoted or established a promotion workflow across Dev/Test/Prod. What foundational design step have they skipped, and why does having 'stages' already defined not substitute for it?","They have skipped identifying artifacts and establishing promotion workflows across environments — this is the documented first step in designing CI/CD pipeline architecture, and simply having build/test/deploy stages named does not by itself define WHICH artifacts move through those stages or HOW they are promoted across Dev/Test/Prod",They have skipped nothing; naming build/test/deploy stages is fully sufficient and no further architectural design is needed,"They have skipped configuring the AI Gateway, which is the actual first step in CI/CD pipeline design","They have skipped disabling RBAC for the pipeline service account, which is the documented first step",,A,"Designing CI/CD pipeline architecture starts with defining stages, identifying artifacts, and establishing promotion workflows across environments together — naming the stages alone does not define which artifacts move through them or how they're promoted across Dev/Test/Prod."
